Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
joe biden knows what he’s doing,10/29/2023,New York Times,1
john fetterman isn’t the politician you thought he’d be — and he doesn’t care,12/27/2023,Politico,1
josh hawley is wrong about israel and ukraine,10/11/2023,Politico,1
judge dismisses murder charge in detroit synagogue leader’s killing,8/10/2024,Washington Post,1
kemba walden says deuces now what?,11/13/2023,Politico,1
killing of teacher and hamas assault set a jittery france on edge,10/17/2023,New York Times,1
la cisjordania ocupada: dividida por la fe y unida por el miedo,11/14/2023,New York Times,1
labor abuses abroad,7/30/2024,New York Times,1
labor’s very good year,12/6/2023,New York Times,1
los gazatíes contemplan la idea de una posguerra con presencia de israel,9/9/2024,New York Times,1
los palestinos en egipto se debaten entre quedarse o regresar,7/13/2024,New York Times,1
louvre and versailles emptied as fran ce raises guard after stabbing,10/14/2023,New York Times,1
major law firms urge colleges to condemn discrimination surge on campus amid israel-hamas war,11/3/2023,Axios,1
making sense of gaza’s civilian death toll,12/7/2023,New York Times,1
many of gaza’s medical workers have been detained or killed,8/2/2024,New York Times,1
many puerto ricans see historic parallels with palestinians,11/7/2023,Axios,1
mass dems descend on chicago,8/19/2024,Politico,1
misinformation and mayhem: the hamas invasion as seen on social media,10/11/2023,Politico,1
monday briefing,10/9/2023,New York Times,1
moral cowardice': rep auchincloss urges harvard to condemn students blaming israel for attacks,10/10/2023,Politico,1
moral surrender and magical thinking at another pointless gop debate,12/7/2023,New York Times,1
mossad chief visits qatar for talks on hostages held by hamas in gaza,10/30/2023,Axios,1
netanyahu vows ‘severe’ response to deadly rocket attack tied to hezbollah,7/30/2024,New York Times,1
"netanyahu, defiant, appears to have gone rogue, risking a regional war",8/2/2024,New York Times,1
newsom: israel-hamas war 'not intellectual any longer',10/23/2023,Politico,1
"november 4, 2023 israel-hamas war news",11/4/2023,CNN,1
ny today: he was one of the central park five now he’s councilman yusef salaam,12/31/2023,New York Times,1
ny today: predicting what’s to come for 2024,1/1/2024,New York Times,1
nyu langone fired him for his posts on the mideast war he’s suing,11/24/2023,New York Times,1
"october 10, 2023 - israel-hamas war news",10/10/2023,CNN,1
"october 11, 2023 - israel-hamas war news",10/12/2023,CNN,1
"october 12, 2023 - israel-hamas war news",10/12/2023,CNN,1
"october 13, 2023 - israel-hamas war news",10/16/2023,CNN,1
"october 17, 2023 - israel-hamas war news",10/18/2023,CNN,1
"october 18, 2023 - israel-hamas war news",10/18/2023,CNN,1
"october 19, 2023 - israel-hamas war news",10/20/2023,CNN,1
"october 20, 2023 - israel-hamas war news",10/20/2023,CNN,1
"october 22, 2023 israel-hamas war news",10/22/2023,CNN,1
"october 24, 2023 - israel-hamas war news",10/25/2023,CNN,1
"october 27, 2023 israel-hamas war news",10/27/2023,CNN,1
"october 8, 2023 israel-hamas war news",10/8/2023,CNN,1
"october 9, 2023 - israel-hamas war news",10/9/2023,CNN,1
